node_id,x_coord,y_coord,zone_id,geometry
34184,-100.538277,35.226646,,POINT (-100.538277 35.226646)
34185,-100.254722,35.230181,,POINT (-100.254722 35.230181)
34186,-100.248558,35.230991,,POINT (-100.248558 35.230991)
34187,-100.242258,35.231529,,POINT (-100.242258 35.231529)
34188,-100.0,35.227253,,POINT (-100.0 35.227253)
34189,-99.996411,35.227294,,POINT (-99.996411 35.227294)
34190,-99.991211,35.227779,,POINT (-99.991211 35.227779)
34191,-99.986104,35.228462,,POINT (-99.986104 35.228462)
34192,-99.803076,35.230173,,POINT (-99.803076 35.230173)
34193,-99.794098,35.230259,,POINT (-99.794098 35.230259)
34194,-99.781024,35.231724,,POINT (-99.781024 35.231724)
34195,-99.649484,35.261914,,POINT (-99.649484 35.261914)
